Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[119]    0.0    0.00    0.00   10318         std::pair<std::__detail::_Node_iterator<Node const*, true, false>, bool> std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<Node const*>(Node const*&&) [119]
                0.00    0.00   10318/10318       std::__detail::_Hash_node<Node const*, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<Node const*, false> > >::_M_allocate_node<Node const*>(Node const*&&) [122]
                0.00    0.00   10318/10318       Node const*& std::__detail::_Identity::operator()<Node const*&>(Node const*&) const [323]
                0.00    0.00   10318/10318       std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::_Scoped_node(std::__detail::_Hash_node<Node const*, false>*, std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<Node const*, false> > >*) [326]
                0.00    0.00   10318/20636       std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_locate(Node const* const&) const [262]
                0.00    0.00   10318/10318       std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__location_type::operator bool() const [316]
                0.00    0.00   10318/10318       std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<Node const*, false>*, unsigned long) [328]
                0.00    0.00   10318/10318       std::pair<std::__detail::_Node_iterator<Node const*, true, false>, bool>::pair<std::__detail::_Node_iterator<Node const*, true, false>&, bool, true>(std::__detail::_Node_iterator<Node const*, true, false>&, bool&&) [336]
                0.00    0.00   10318/10318       std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::~_Scoped_node() [327]
-----------------------------------------------
                0.00    0.00   10318/10318       std::unordered_set<Node const*, std::hash<Node const*>, std::equal_to<Node const*>, std::allocator<Node const*> >::insert(Node const*&&) [121]
[120]    0.0    0.00    0.00   10318         std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(Node const*&&) [120]
                0.00    0.00   10318/10318       std::pair<std::__detail::_Node_iterator<Node const*, true, false>, bool> std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<Node const*>(Node const*&&) [119]
-----------------------------------------------
                0.00    0.00   10318/10318       Node::topoSort(std::shared_ptr<Node> const&)::{lambda(std::shared_ptr<Node> const&)#1}::operator()(std::shared_ptr<Node> const&) const <cycle 2> [88]
[121]    0.0    0.00    0.00   10318         std::unordered_set<Node const*, std::hash<Node const*>, std::equal_to<Node const*>, std::allocator<Node const*> >::insert(Node const*&&) [121]
                0.00    0.00   10318/10318       std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(Node const*&&) [120]
-----------------------------------------------
                0.00    0.00   10318/10318       std::pair<std::__detail::_Node_iterator<Node const*, true, false>, bool> std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<Node const*>(Node const*&&) [119]
[122]    0.0    0.00    0.00   10318         std::__detail::_Hash_node<Node const*, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<Node const*, false> > >::_M_allocate_node<Node const*>(Node const*&&) [122]
                0.00    0.00   20636/98257767     operator new(unsigned long, void*) [67]
                0.00    0.00   10318/32830       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<Node const*, false> > >::_M_node_allocator() [239]
                0.00    0.00   10318/10318       std::__new_allocator<std::__detail::_Hash_node<Node const*, false> >::allocate(unsigned long, void const*) [332]
                0.00    0.00   10318/10318       std::__detail::_Hash_node<Node const*, false>::_Hash_node() [337]
                0.00    0.00   10318/20636       __gnu_cxx::__aligned_buffer<Node const*>::_M_ptr() [259]
-----------------------------------------------
                0.00    0.00   19092/19092       double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long) [23]
[123]    0.0    0.00    0.00   19092         void std::_Construct<double>(double*) [123]
                0.00    0.00   19092/98257767     operator new(unsigned long, void*) [67]
-----------------------------------------------
                0.00    0.00   19078/19078       std::shared_ptr<Node>* std::__relocate_a_1<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [127]
[124]    0.0    0.00    0.00   19078         void std::__relocate_object_a<std::shared_ptr<Node>, std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [124]
                0.00    0.00   19078/98257767     operator new(unsigned long, void*) [67]
                0.00    0.00   19078/29096       std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node>&&) [246]
                0.00    0.00   19078/83271       std::shared_ptr<Node>::~shared_ptr() <cycle 1> [192]
-----------------------------------------------
                0.00    0.00   17210/17210       void std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_realloc_append<std::shared_ptr<Node> const&>(std::shared_ptr<Node> const&) [102]
[125]    0.0    0.00    0.00   17210         std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_S_relocate(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [125]
                0.00    0.00   17210/17210       std::shared_ptr<Node>* std::__relocate_a<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [126]
-----------------------------------------------
                0.00    0.00   17210/17210       std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_S_relocate(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [125]
[126]    0.0    0.00    0.00   17210         std::shared_ptr<Node>* std::__relocate_a<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [126]
                0.00    0.00   17210/17210       std::shared_ptr<Node>* std::__relocate_a_1<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [127]
-----------------------------------------------
                0.00    0.00   17210/17210       std::shared_ptr<Node>* std::__relocate_a<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [126]
[127]    0.0    0.00    0.00   17210         std::shared_ptr<Node>* std::__relocate_a_1<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [127]
                0.00    0.00   19078/19078       void std::__relocate_object_a<std::shared_ptr<Node>, std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [124]
-----------------------------------------------
                0.00    0.00   11272/11272       std::shared_ptr<Node>* std::__do_uninit_copy<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*) [131]
[128]    0.0    0.00    0.00   11272         void std::_Construct<std::shared_ptr<Node>, std::shared_ptr<Node> const&>(std::shared_ptr<Node>*, std::shared_ptr<Node> const&) [128]
                0.00    0.00   11272/98257767     operator new(unsigned long, void*) [67]
                0.00    0.00   11272/64166       std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node> const&) [204]
-----------------------------------------------
                0.00    0.00    6262/6262        std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::vector(std::initializer_list<std::shared_ptr<Node> >, std::allocator<std::shared_ptr<Node> > const&) [130]
[129]    0.0    0.00    0.00    6262         void std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_range_initialize_n<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, unsigned long) [129]
                0.00    0.00    6262/6262        std::shared_ptr<Node>* std::__uninitialized_copy_a<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*, std::shared_ptr<Node> >(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [133]
                0.00    0.00   12524/46969       std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_get_Tp_allocator() [221]
                0.00    0.00    6262/6262        std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_S_check_init_len(unsigned long, std::allocator<std::shared_ptr<Node> > const&) [386]
                0.00    0.00    6262/23474       std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_allocate(unsigned long) [252]
-----------------------------------------------
                0.00    0.00       2/6262        LinearLayer::parameters() const [151]
                0.00    0.00    1252/6262        MathOps::relu(std::shared_ptr<Node> const&) [64]
                0.00    0.00    2504/6262        MathOps::add(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&) [42]
                0.00    0.00    2504/6262        MathOps::matmul(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&) [57]
[130]    0.0    0.00    0.00    6262         std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::vector(std::initializer_list<std::shared_ptr<Node> >, std::allocator<std::shared_ptr<Node> > const&) [130]
                0.00    0.00    6262/6262        void std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_range_initialize_n<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, unsigned long) [129]
                0.00    0.00    6262/6262        std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_Vector_base(std::allocator<std::shared_ptr<Node> > const&) [385]
                0.00    0.00    6262/12524       std::initializer_list<std::shared_ptr<Node> >::size() const [290]
                0.00    0.00    6262/6262        std::initializer_list<std::shared_ptr<Node> >::end() const [383]
                0.00    0.00    6262/12524       std::initializer_list<std::shared_ptr<Node> >::begin() const [291]
-----------------------------------------------
                0.00    0.00    6262/6262        std::shared_ptr<Node>* std::uninitialized_copy<std::shared_ptr<Node> const*, std::shared_ptr<Node>*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*) [132]
[131]    0.0    0.00    0.00    6262         std::shared_ptr<Node>* std::__do_uninit_copy<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*) [131]
                0.00    0.00   11272/11272       void std::_Construct<std::shared_ptr<Node>, std::shared_ptr<Node> const&>(std::shared_ptr<Node>*, std::shared_ptr<Node> const&) [128]
                0.00    0.00    6262/6268        std::_UninitDestroyGuard<std::shared_ptr<Node>*, void>::_UninitDestroyGuard(std::shared_ptr<Node>*&) [381]
                0.00    0.00    6262/6268        std::_UninitDestroyGuard<std::shared_ptr<Node>*, void>::release() [380]
                0.00    0.00    6262/6268        std::_UninitDestroyGuard<std::shared_ptr<Node>*, void>::~_UninitDestroyGuard() [382]
-----------------------------------------------
                0.00    0.00    6262/6262        std::shared_ptr<Node>* std::__uninitialized_copy_a<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*, std::shared_ptr<Node> >(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [133]
[132]    0.0    0.00    0.00    6262         std::shared_ptr<Node>* std::uninitialized_copy<std::shared_ptr<Node> const*, std::shared_ptr<Node>*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*) [132]
                0.00    0.00    6262/6262        std::shared_ptr<Node>* std::__do_uninit_copy<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*) [131]
-----------------------------------------------
                0.00    0.00    6262/6262        void std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_range_initialize_n<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, unsigned long) [129]
[133]    0.0    0.00    0.00    6262         std::shared_ptr<Node>* std::__uninitialized_copy_a<std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*, std::shared_ptr<Node> >(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&) [133]
                0.00    0.00    6262/6262        std::shared_ptr<Node>* std::uninitialized_copy<std::shared_ptr<Node> const*, std::shared_ptr<Node>*>(std::shared_ptr<Node> const*, std::shared_ptr<Node> const*, std::shared_ptr<Node>*) [132]
-----------------------------------------------
                0.00    0.00    1252/1252        DataLoader::nextBatch() [19]
[134]    0.0    0.00    0.00    1252         std::pair<Matrix, Matrix>::pair<Matrix&, Matrix&, true>(Matrix&, Matrix&) [134]
                0.00    0.00    2504/18788       Matrix::Matrix(Matrix const&) [117]
-----------------------------------------------
                0.00    0.00    1252/1252        std::function<void (Matrix const&)>::function<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}, void>(CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [139]
[135]    0.0    0.00    0.00    1252         void std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_init_functor<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [135]
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_create<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&, std::integral_constant<bool, false>) [136]
-----------------------------------------------
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_init_functor<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [135]
[136]    0.0    0.00    0.00    1252         void std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_create<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&, std::integral_constant<bool, false>) [136]
                0.00    0.00    1252/1252        CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}::Matrix({lambda(Matrix const&)#1}&&) [141]
                0.00    0.00    1252/2504        CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}*& std::_Any_data::_M_access<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}*>() [464]
-----------------------------------------------
                0.00    0.00    1252/1252        std::function<void (Matrix const&)>::function<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}, void>(MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [140]
[137]    0.0    0.00    0.00    1252         void std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_init_functor<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [137]
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_create<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&, std::integral_constant<bool, false>) [138]
-----------------------------------------------
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_init_functor<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [137]
[138]    0.0    0.00    0.00    1252         void std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_create<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&, std::integral_constant<bool, false>) [138]
                0.00    0.00    1252/1252        MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}::Matrix({lambda(Matrix const&)#1}&&) [142]
                0.00    0.00    1252/2504        MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}*& std::_Any_data::_M_access<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}*>() [465]
-----------------------------------------------
                0.00    0.00    1252/1252        CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&) [58]
[139]    0.0    0.00    0.00    1252         std::function<void (Matrix const&)>::function<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}, void>(CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [139]
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_init_functor<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [135]
                0.00    0.00    1252/25986       std::_Function_base::_Function_base() [248]
                0.00    0.00    1252/1252        bool std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_not_empty_function<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1} const&) [487]
-----------------------------------------------
                0.00    0.00    1252/1252        MathOps::relu(std::shared_ptr<Node> const&) [64]
[140]    0.0    0.00    0.00    1252         std::function<void (Matrix const&)>::function<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}, void>(MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [140]
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_init_functor<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&) [137]
                0.00    0.00    1252/25986       std::_Function_base::_Function_base() [248]
                0.00    0.00    1252/1252        bool std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_not_empty_function<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1} const&) [490]
-----------------------------------------------
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_create<CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&, std::integral_constant<bool, false>) [136]
[141]    0.0    0.00    0.00    1252         CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}::Matrix({lambda(Matrix const&)#1}&&) [141]
                0.00    0.00    1252/18788       Matrix::Matrix(Matrix const&) [117]
                0.00    0.00    2504/64166       std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node> const&) [204]
-----------------------------------------------
                0.00    0.00    1252/1252        void std::_Function_base::_Base_manager<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>::_M_create<MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}>(std::_Any_data&, MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}&&, std::integral_constant<bool, false>) [138]
[142]    0.0    0.00    0.00    1252         MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}::Matrix({lambda(Matrix const&)#1}&&) [142]
                0.00    0.00    1252/18788       Matrix::Matrix(Matrix const&) [117]
                0.00    0.00    1252/64166       std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node> const&) [204]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[143]    0.0    0.00    0.00       1         MLPNetwork::getParameters() const [143]
                0.00    0.00       2/2           __gnu_cxx::__normal_iterator<std::shared_ptr<Node>*, std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > > > std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::insert<__gnu_cxx::__normal_iterator<std::shared_ptr<Node>*, std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > > >, void>(__gnu_cxx::__normal_iterator<std::shared_ptr<Node> const*, std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Node>*, std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Node>*, std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > > >) [145]
                0.00    0.00       2/2           LinearLayer::parameters() const [151]
                0.00    0.00       4/30346       std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::end() [244]
                0.00    0.00       2/2508        std::unique_ptr<LinearLayer, std::default_delete<LinearLayer> >::operator->() const [443]
                0.00    0.00       2/40666       std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::begin() [226]
                0.00    0.00       2/83271       std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::~vector() <cycle 1> [280]
                0.00    0.00       1/10963       std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::vector() [311]
                0.00    0.00       1/1255        std::vector<MLPNetwork::LayerNode, std::allocator<MLPNetwork::LayerNode> >::begin() const [483]
                0.00    0.00       1/1255        std::vector<MLPNetwork::LayerNode, std::allocator<MLPNetwork::LayerNode> >::end() const [482]
-----------------------------------------------
